book_id,title,authors,description,image,isbn,language
"-_PHAgAAQBAJ""","""DB2 10 for Linux on System z Using z/VM v6.2, Single System Image Clusters and Live Guest Relocation""","{"Lydia Parziale"","""""Dan Davenport""""","""""Eduardo Kienetz""""","""""Tito Ogando""""","""""Manoj Srinivasan Pattabhiraman""""","""""Srivatsan Venkatesan""""","""""IBM Redbooks""}""","""IBM® z/VM® 6.2 introduced significant changes to z/VM with a multi-system clustering technology that allows up to four z/VM instances in a single system image (SSI) cluster. This technology is important because it offers you an attractive alternative to vertical growth by adding new z/VM systems. In the past, this capability required duplicate efforts to install, maintain, and manage each system. With SSI, these duplicate efforts are reduced or eliminated. Support for live guest relocation (LGR) allows you to move Linux virtual servers without disrupting your business or incurring loss of service, thus reducing planned outages. The z/VM systems are aware of each other and take advantage of their combined resources. LGR enables you to relocate guests from a system requiring maintenance to a system that will remain active during maintenance. A major advantage for DB2 v10 customers is that using z/VM 6.2 does not require any changes to existing DB2 structures. This remarkable benefit is due to the fact that DB2 v10 is installed as part of the LInux guest on z/VM and is fully integrated into LGR. This allows you to smoothly move DB2 v10 when you move Linux virtual servers, without interrupting either DB2 v10 or z/VM operations and services. This IBM Redbooks® publication will help you understand how DB2 10 on Linux for System z® behaves while running on a z/VM that is being relocated using z/VM's 6.2 Live Guest Relocation feature. In this book, we explore memory management, the DB2 Self-tuning memory manager feature, time synchronization, networking, and storage and performance considerations with regards to relocation. We also offer some best practices found during a live guest relocation for DB2 v10.""","""http://books.google.com/books/content?id=-_PHAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780738437422""","""en"
"-A64EAAAQBAJ""","""Latina/o/x Communication Studies""","{"Diana I. Bowen"","""""Sarah De Los Santos Upton""""","""""Leandra Hinojosa Hernández""""","""""Michelle A. Holling""""","""""Amanda R. Martinez""}""","""This bookpresents contemporary Latina/o/x Communication Studies research in theoretical, methodological, and academic contexts. Contributors focus on Latina/o/x experiences in academia, Latina/o/x identity, the role of the Spanish language, and border activism modes of resistance.""","""http://books.google.com/books/content?id=-A64EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781498558761""","""en"
"-BPGCgAAQBAJ""","""Walter and The Resurrection of G""","{"T J Armstrong"}","""Walter is a gifted young singer who leaves his home in the forests of Germany in a quest for fame and love; he embarks on a series of adventures which leads him through the haunting landscapes of twelfth-century Europe. His encounter with the mysterious Brotherhood of Watchers drives him to the crusades, into a clash with the Doge in Venice and on to the disaster of Constantinople. But there is more to Walter than he dares imagine? What are the dark forces controlling him and those he loves? The story is wrenched into the present where a sinister Oxford don dies in mysterious circumstances leaving an occult manuscript based on Walter to his assistant Ian with certain instructions. As Ian seeks to unravel these and his own life and love begin to weave into Walter’s – to whom he bears a striking resemblance – the novel’s secrets deepen. This is a powerful and compelling tale about personal and political catastrophe and the individual’s resilience in a time of uncertainty and danger. It is also a daring and brilliant contemplation of the Middle Ages and its continuing importance. Walter’s work, it appears, is not finished, nor what he learnt, nor is his music lost forever.""","""http://books.google.com/books/content?id=-BPGCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781861515391""","""en"
"-jeY2jknYLcC""","""Report of the Board of Managers of the National Home for Disabled Volunteer Soldiers for the Fiscal Year Ended June 30, 1895""","""{}""","""No Description""","""http://books.google.com/books/content?id=-jeY2jknYLcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""PURD:32754082397229""","""en"
"-ON_W1ubAmoC""","""Lexicon Tetraglotton, an English-French-Italian-Spanish Dictionary: Whereunto is Adjoined a Large Nomenclature of the Proper Terms (in All the Four) Belonging to Several Arts and Sciences ... Divided Into Fiftie Two Sections; with Another Volume of the Choicest Proverbs in All the Said Toungs, (consisting of Divers Compleat Tomes) and the English Translated Into the Other Three ... Moroever, There are Sundry Familiar Letters and Verses Running All in Proverbs ... By the Labours, and Lucubrations of James Hovvell""","{"James Howell"}","""No Description""","""http://books.google.com/books/content?id=-ON_W1ubAmoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""IBNF:CF005636297""","""en"
"-OSECgAAQBAJ""","""Vitamin D Hormone""","""{}""","""First published in 1943, Vitamins and Hormones is the longest-running serial published by Academic Press. The Series provides up-to-date information on vitamin and hormone research spanning data from molecular biology to the clinic. A volume can focus on a single molecule or on a disease that is related to vitamins or hormones. A hormone is interpreted broadly so that related substances, such as transmitters, cytokines, growth factors and others can be reviewed. This volume focuses on vitamin D hormone. - Expertise of the contributors - Coverage of a vast array of subjects - In depth current information at the molecular to the clinical levels""","""http://books.google.com/books/content?id=-OSECgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780128052402""","""en"
"-pb3yZbnwRIC""","""Annual Report of the Beverly Water Board for the Year ...""","{"Beverly (Mass.). Water Board"}","""No Description""","""http://books.google.com/books/content?id=-pb3yZbnwRIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""NYPL:33433109801799""","""en"
"-pH7RT-VWjsC""","""21st Century C""","{"Ben Klemens"}","""Throw out your old ideas about C and get to know a programming language that’s substantially outgrown its origins. With this revised edition of 21st Century C, you’ll discover up-to-date techniques missing from other C tutorials, whether you’re new to the language or just getting reacquainted. C isn’t just the foundation of modern programming languages; it is a modern language, ideal for writing efficient, state-of-the-art applications. Get past idioms that made sense on mainframes and learn the tools you need to work with this evolved and aggressively simple language. No matter what programming language you currently favor, you’ll quickly see that 21st century C rocks. Set up a C programming environment with shell facilities, makefiles, text editors, debuggers, and memory checkers Use Autotools, C’s de facto cross-platform package manager Learn about the problematic C concepts too useful to discard Solve C’s string-building problems with C-standard functions Use modern syntactic features for functions that take structured inputs Build high-level, object-based libraries and programs Perform advanced math, talk to internet servers, and run databases with existing C libraries This edition also includes new material on concurrent threads, virtual tables, C99 numeric types, and other features.""","""http://books.google.com/books/content?id=-pH7RT-VWjsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781449344665""","""en"
"-tIvygEACAAJ""","""The Republic of India""","{"Alan Gledhill"}","""No Description""","""","""OCLC:1120811422""","""en"
"-Tzw3b2__6cC""","""Cases Argued and Decided in the Supreme Court of the United States""","{"United States. Supreme Court"}","""No Description""","""http://books.google.com/books/content?id=-Tzw3b2__6cC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""CORNELL:31924102862772""","""en"
"-VadboUlaKEC""","""House documents""","""{}""","""No Description""","""http://books.google.com/books/content?id=-VadboUlaKEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""BSB:BSB11548029""","""en"
"-vU7AQAAMAAJ""","""Proceedings of the London Mathematical Society""","{"London Mathematical Society"}","""Papers presented to J. E. Littlewood on his 80th birthday"" issued as 3d ser., v. 14 A, 1965.""","""http://books.google.com/books/content?id=-vU7AQAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""MSU:31293002104499""","""en"
"-ymKtAEACAAJ""","""C Programming""","{"k. N. King"}","""C++ was written to help professional C# developers learn modern C++ programming. The aim of this book is to leverage your existing C# knowledge in order to expand your skills. Whether you need to use C++ in an upcoming project, or simply want to learn a new language (or reacquaint yourself with it), this book will help you learn all of the fundamental pieces of C++ so you can begin writing your own C++ programs.This updated and expanded second edition of Book provides a user-friendly introduction to the subject, Taking a clear structural framework, it guides the reader through the subject's core elements. A flowing writing style combines with the use of illustrations and diagrams throughout the text to ensure the reader understands even the most complex of concepts. This succinct and enlightening overview is a required reading for all those interested in the subject .We hope you find this book useful in shaping your future career & Business.""","""http://books.google.com/books/content?id=-ymKtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api""","""1548817732""","""en"
"_3OrWRHJrbQC""","""Report""","{"Vermont. State Board of Agriculture"}","""No Description""","""http://books.google.com/books/content?id=_3OrWRHJrbQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""WISC:89047983887""","""en"
"_4iHxFY7kloC""","""Notes and Queries""","""{}""","""No Description""","""http://books.google.com/books/content?id=_4iHxFY7kloC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""SRLF:A0014507164""","""en"
"_EopbRWZx_8C""","""Best of Sydney J. Bounds""","{"Sydney J. Bounds"}","""By turns chilling, eerie, strange and exciting, here are nine hand-picked early stories by one of the craftsmen of British science fiction, including a complete short novel never before published.""","""http://books.google.com/books/content?id=_EopbRWZx_8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781587155161""","""en"
"_IkpDwAAQBAJ""","""Everyone's a Aliebn When Ur a Aliebn Too""","{"Jomny Sun"}","""The chronicle of a lonely alien sent to observe Earth, based on the beloved Twitter account by the New York Times–bestselling author and illustrator. Here is the unforgettable story of Jomny, an alien sent to study Earth. Always feeling apart, even among his species, Jomny feels at home for the first time among the earthlings he meets. There is a bear tired of other creatures running in fear, an egg struggling to decide what to hatch into, a turtle hiding itself by learning camouflage, a puppy struggling to express its true feelings, and many more. Jomny’s curious presence allows these characters to open up to him in new ways, revealing the power of somebody who is just there to listen. Everyone’s a Aliebn When Ur a Aliebn Too is also the story behind the widely-shared and typo-filled @jonnysun twitter account. Since the beginning, Sun intentionally tweeted from an outsider’s perspective, creating a truly distinct voice. Now, that outsider has taken shape in the character of Jomny, who observes Earth with the same intelligent, empathetic, and charmingly naïve voice that won over his fans on social media. Through this story of lonely Alien finding friendship, acceptance, and love among the animals and plants of Earth, we will all learn how to be a little more human. And for all the earth-bound creatures here on this planet, we will all learn how it can take an outsider to help us see who we truly are.""","""http://books.google.com/books/content?id=_IkpDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780062821225""","""en"
"_j37WTc6DvsC""","""Report of the National Museum""","{"United States National Museum"}","""No Description""","""http://books.google.com/books/content?id=_j37WTc6DvsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""PURD:32754061917260""","""en"
"_lmBDQEACAAJ""","""C# Programming in Easy Steps""","{"Mike McGrath"}","""Written in an easy-to-follow style that will appeal to anyone, this clear and detailed guide will teach you to code applications and demonstrates every aspect of the C# language that you will need to produce professional programming results. --""","""http://books.google.com/books/content?id=_lmBDQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api""","""1840787198""","""en"
"_ndrEMcEPBUC""","""The Novels of Charles Lever: Charles O'Malley, the Irish dragoon; with illus. by Phiz""","{"Charles James Lever"}","""No Description""","""http://books.google.com/books/content?id=_ndrEMcEPBUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""IND:30000115190062""","""en"
"_TA2AAAAMAAJ""","""State Papers Relating to Musters, Beacons, Shipmoney, &c. in Norfolk""","{"Walter Rye"}","""No Description""","""http://books.google.com/books/content?id=_TA2AAAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""UOM:39015063598745""","""en"
"_teQEAAAQBAJ""","""V for Vendetta Book & Mask Set""","{"ALAN. MOORE"}","""In a world without political freedom, personal freedom and precious little faith in anything comes a mysterious man in a white porcelain mask who fights political oppressors through terrorism and seemingly absurd acts. It's a gripping tale of the blurred lines between ideological good and evil. The inspiration for the hit 2005 movie starring Natalie Portman and Hugo Weaving, this amazing graphic novel is packaged with a collectable reproduction of the iconic V mask.""","""http://books.google.com/books/content?id=_teQEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api""","""9781779511737""","""en"
"_VJMuM10I7QC""","""Acta societatis regiae scientiarum Upsaliensis""","""{}""","""No Description""","""http://books.google.com/books/content?id=_VJMuM10I7QC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""ONB:+Z229464100""","""en"
"_Vt8eRV2uNwC""","""British Bee Journal & Bee-keepers Adviser""","""{}""","""No Description""","""http://books.google.com/books/content?id=_Vt8eRV2uNwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""WISC:89048059489""","""en"
"_yazEAAAQBAJ""","""Z-DNA""","{"Kyeong Kyu Kim"","""""Vinod Kumar Subramani""}""","""This detailed volume compiles key methods and techniques used to establish some of the structural and functional aspects of Z-form nucleic acids. Beginning with chapters on characterizing Z-DNA, the book continues by exploring structure determination techniques, gene- and genome-targeting methods and genome-wide approaches, Z-RNA study, and much more. Written for the highly successful Methods in Molecular Biology series, chapters include introductions to their respective topics, lists of the necessary materials and reagents, step-by-step and readily reproducible laboratory protocols, and tips on troubleshooting and avoiding known pitfalls. Authoritative and practical, Z-DNA: Methods and Protocols serves as an ideal guide for students and researchers curious about this unique Z nucleic acid as an area of investigation, aiming to help the field grow, flourish, and unravel the hidden and novel roles of Z. Chapter 1 is available open access under a Creative Commons Attribution 4.0 International License via link.springer.com. This is an open access book.""","""http://books.google.com/books/content?id=_yazEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781071630846""","""en"
"_znWCgAAQBAJ""","""Lectures on the h-Cobordism Theorem""","{"John Milnor"}","""These lectures provide students and specialists with preliminary and valuable information from university courses and seminars in mathematics. This set gives new proof of the h-cobordism theorem that is different from the original proof presented by S. Smale. Originally published in 1965. The Princeton Legacy Library uses the latest print-on-demand technology to again make available previously out-of-print books from the distinguished backlist of Princeton University Press. These editions preserve the original texts of these important books while presenting them in durable paperback and hardcover editions. The goal of the Princeton Legacy Library is to vastly increase access to the rich scholarly heritage found in the thousands of books published by Princeton University Press since its founding in 1905.""","""http://books.google.com/books/content?id=_znWCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781400878055""","""en"
